Num,Name,Accuracy,Kappa,time [s],Model name
84,spls,0.796,0.693,1.360,Sparse Partial Least Squares
34,kernelpls,0.794,0.692,0.630,Partial Least Squares
63,pls,0.794,0.692,0.630,Partial Least Squares
81,simpls,0.794,0.692,0.660,Partial Least Squares
98,widekernelpls,0.794,0.692,0.730,Partial Least Squares
71,RFlda,0.758,0.571,0.770,Factor-Based Linear Discriminant Analysis
46,Mlda,0.757,0.569,0.720,Maximum Uncertainty Linear Discriminant Analysis
83,sparseLDA,0.666,0.499,1.330,Sparse Linear Discriminant Analysis
4,bayesglm,0.665,0.495,0.850,Bayesian Generalized Linear Model
8,bstSm,0.665,0.495,2.780,Boosted Smoothing Spline
22,gam,0.665,0.495,2.540,Generalized Additive Model using Splines
23,gamLoess,0.665,0.495,1.130,Generalized Additive Model using LOESS
62,plr,0.665,0.495,0.860,Penalized Logistic Regression
73,rocc,0.665,0.495,0.890,ROC-Based Classifier
80,sdwd,0.665,0.495,1.570,Sparse Distance Weighted Discrimination
7,BstLm,0.588,0.380,2.330,Boosted Linear Model
17,dnn,0.320,0.000,2.620,Stacked AutoEncoder Deep Neural Network
28,gpls,1.000,,2.340,Generalized Partial Least Squares
